Serie,dateprel,geno,bac,trait,ST,idepi,niveau,idepillet,dateflo,grain,pfmg,psmg,volmm3,qteaumg,teneaupct,temp,daa,msumtpgr
1,28/01/2016,49,1,10,304,1,2,8,12/01/2016,1,55.873,20.035,58.11237216,35.838,64.14189322,19,16,308.8
1,28/01/2016,49,1,10,304,1,2,8,12/01/2016,2,54.073,,56.50963147,,,19,16,308.8
1,28/01/2016,49,1,10,304,1,2,9,12/01/2016,1,59.799,21.116,62.04509712,38.683,64.68837272,19,16,308.8
1,28/01/2016,49,1,10,304,1,2,9,12/01/2016,2,58.013,,60.35620912,,,19,16,308.8
1,02/02/2016,49,1,10,400,3,2,8,12/01/2016,1,59.969,25.778,60.72559314,34.191,57.01445747,19,21,403.8
1,02/02/2016,49,1,10,400,3,2,8,12/01/2016,2,57.669,,58.62155338,,,19,21,403.8
1,02/02/2016,49,1,10,400,3,2,9,12/01/2016,1,62.503,26.898,63.06408304,35.605,56.96526567,19,21,403.8
1,02/02/2016,49,1,10,400,3,2,9,12/01/2016,2,55.514,,57.16375441,,,19,21,403.8
1,18/01/2016,49,1,10,95,5,2,9,13/01/2016,1,18.778,4.642,23.34882044,14.136,75.27958249,19,5,95
1,18/01/2016,49,1,10,95,5,2,9,13/01/2016,2,16.592,,20.05847719,,,19,5,95
1,18/01/2016,49,1,10,95,5,2,10,13/01/2016,1,19.082,4.561,22.45163616,14.521,76.0978933,19,5,95
1,18/01/2016,49,1,10,95,5,2,10,13/01/2016,2,16.038,,19.30348059,,,19,5,95
1,25/02/2016,49,1,10,800,6,2,10,15/01/2016,1,56.296,46.285,52.92650432,10.011,17.78279096,19,41,807.7
1,25/02/2016,49,1,10,800,6,2,10,15/01/2016,2,54.843,,51.77152932,,,19,41,807.7
1,25/02/2016,49,1,10,800,6,2,11,15/01/2016,1,52.853,44.011,50.47931964,8.842,16.72941933,19,41,807.7
1,25/02/2016,49,1,10,800,6,2,11,15/01/2016,2,52.735,,49.65991846,,,19,41,807.7
1,25/01/2016,49,1,10,209,7,2,10,14/01/2016,1,44.039,11.518,50.37572139,32.521,73.84590931,19,11,213.2
1,25/01/2016,49,1,10,209,7,2,10,14/01/2016,2,43.336,,50.87367746,,,19,11,213.2
1,25/01/2016,49,1,10,209,7,2,11,14/01/2016,1,44.983,11.79,53.62596185,33.193,73.79009848,19,11,213.2
1,25/01/2016,49,1,10,209,7,2,11,14/01/2016,2,44.152,,51.39067009,,,19,11,213.2
1,22/01/2016,49,1,10,152,8,2,10,14/01/2016,1,35.644,8.604,36.63235471,27.04,75.86129503,19,8,155
1,22/01/2016,49,1,10,152,8,2,10,14/01/2016,2,38.041,,39.83358033,,,19,8,155
1,22/01/2016,49,1,10,152,8,2,11,14/01/2016,1,36.293,8.746,43.79080386,27.547,75.90168903,19,8,155
1,22/01/2016,49,1,10,152,8,2,11,14/01/2016,2,38.12,,43.11691433,,,19,8,155
1,28/01/2016,49,1,10,247,9,2,9,15/01/2016,1,53.674,17.334,56.41046189,36.34,67.7050341,19,13,251.2
1,28/01/2016,49,1,10,247,9,2,9,15/01/2016,2,51.65,,54.28282363,,,19,13,251.2
1,28/01/2016,49,1,10,247,9,2,10,15/01/2016,1,52.293,16.765,54.82675375,35.528,67.94025969,19,13,251.2
1,28/01/2016,49,1,10,247,9,2,10,15/01/2016,2,49.568,,53.09879895,,,19,13,251.2
1,10/02/2016,49,1,10,500,10,2,9,16/01/2016,1,74.849,36.322,72.72863899,38.527,51.47296557,19,25,
1,10/02/2016,49,1,10,500,10,2,9,16/01/2016,2,53.405,,54.04877365,,,19,25,
1,10/02/2016,49,1,10,500,10,2,10,16/01/2016,1,70.741,33.893,68.71292882,36.848,52.08860491,19,25,
1,10/02/2016,49,1,10,500,10,2,10,16/01/2016,2,72.398,,68.46946137,,,19,25,
1,16/02/2016,49,1,10,600,12,2,9,16/01/2016,1,86.834,44.918,80.72899968,41.916,48.27141442,19,31,604.6
1,16/02/2016,49,1,10,600,12,2,9,16/01/2016,2,88.729,,81.82610612,,,19,31,604.6
1,16/02/2016,49,1,10,600,12,2,10,16/01/2016,1,90.222,47.181,83.12159346,43.041,47.70565937,19,31,604.6
1,16/02/2016,49,1,10,600,12,2,10,16/01/2016,2,88.653,,91.56881212,,,19,31,604.6
1,25/01/2016,49,1,10,209,13,2,9,14/01/2016,1,43.254,11.68,52.09402052,31.574,72.99671707,19,11,213.2
1,25/01/2016,49,1,10,209,13,2,9,14/01/2016,2,42.032,,48.96601475,,,19,11,213.2
1,25/01/2016,49,1,10,209,13,2,10,14/01/2016,1,46.481,12.389,52.12107246,34.092,73.34609841,19,11,213.2
1,25/01/2016,49,1,10,209,13,2,10,14/01/2016,2,42.15,,49.58520359,,,19,11,213.2
1,15/01/2016,49,1,10,57,15,2,10,11/01/2016,1,11.226,2.57,12.78530581,8.656,77.10671655,19,4,57
1,15/01/2016,49,1,10,57,15,2,10,11/01/2016,2,9.073,,12.03116706,,,19,4,57
1,15/01/2016,49,1,10,57,15,2,11,11/01/2016,1,10.202,2.376,13.0617232,7.826,76.71044893,19,4,57
1,15/01/2016,49,1,10,57,15,2,11,11/01/2016,2,8.847,,12.00512774,,,19,4,57
1,17/02/2016,49,1,10,700,16,2,9,12/01/2016,1,86.349,44.443,81.44537512,41.906,48.53096156,19,36,701.9
1,17/02/2016,49,1,10,700,16,2,9,12/01/2016,2,65.958,,63.9207278,,,19,36,701.9
1,17/02/2016,49,1,10,700,16,2,10,12/01/2016,1,82.736,42.785,77.92561719,39.951,48.28732354,19,36,701.9
1,17/02/2016,49,1,10,700,16,2,10,12/01/2016,2,81.37,,77.15814364,,,19,36,701.9
1,18/02/2016,49,1,10,700,17,2,9,13/01/2016,1,75.241,38.195,70.30121508,37.046,49.23645353,19,36,702.9
1,18/02/2016,49,1,10,700,17,2,9,13/01/2016,2,73.876,,71.23781667,,,19,36,702.9
1,18/02/2016,49,1,10,700,17,2,10,13/01/2016,1,74.473,38.967,69.63207084,35.506,47.67633908,19,36,702.9
1,18/02/2016,49,1,10,700,17,2,10,13/01/2016,2,67.873,,65.02419137,,,19,36,702.9
4,17/05/2016,49,8,41,120,984,2,12,12/05/2016,2,28.977,,37.0804075,,,24,5,110.5
4,17/05/2016,49,8,41,120,984,2,12,12/05/2016,1,27.334,5.751,35.63493574,21.583,78.96026926,24,5,110.5
3,25/03/2016,49,6,31,0,643,2,12,25/03/2016,1,8.12,1.56,13.88666239,6.56,80.78817734,29,0,0
3,25/03/2016,49,6,31,0,643,2,13,25/03/2016,1,6.254,1.242,15.42361334,5.012,80.14070995,29,0,0
1,14/01/2016,49,1,10,57,25,2,10,11/01/2016,1,9.679,1.959,13.04404457,7.72,79.76030582,19,3,57
1,14/01/2016,49,1,10,57,25,2,10,11/01/2016,2,4.576,,10.63642193,,,19,3,57
1,14/01/2016,49,1,10,57,25,2,11,11/01/2016,1,10.356,2.143,19.53350433,8.213,79.30668212,19,3,57
